Dates,Blocked,END where I got to
30-08-1964 to 04-09-1964,0,
27-05-1965 to 01-06-1965,0,
28-05-1965 to 02-06-1965,1,
29-05-1965 to 03-06-1965,1,
30-05-1965 to 04-06-1965,0,
01-06-1965 to 05-06-1965,0,
02-06-1965 to 06-06-1965,0,
03-06-1965 to 07-06-1965,0,
04-06-1965 to 08-06-1965,0,
05-06-1965 to 09-06-1965,0,
06-06-1965 to 10-06-1965,0,
07-06-1965 to 11-06-1965,0,
08-06-1965 to 12-06-1965,0,
09-06-1965 to 13-06-1965,0,
10-06-1965 to 14-06-1965,0,
11-06-1965 to 15-06-1965,0,
12-06-1965 to 16-06-1965,0,
13-06-1965 to 17-06-1965,0,
14-06-1965 to 18-06-1965,0,
15-06-1965 to 19-06-1965,0,
16-06-1965 to 20-06-1965,0,
17-06-1965 to 21-06-1965,0,
18-06-1965 to 22-06-1965,0,
19-06-1965 to 23-06-1965,0,
20-06-1965 to 24-06-1965,0,
21-06-1965 to 25-06-1965,0,
22-06-1965 to 26-06-1965,0,
23-06-1965 to 27-06-1965,0,
24-06-1965 to 28-06-1965,0,
25-06-1965 to 29-06-1965,0,
26-06-1965 to 30-06-1965,0,
27-06-1965 to 01-07-1965,0,
28-06-1965 to 02-07-1965,0,
29-06-1965 to 03-07-1965,0,
30-06-1965 to 04-07-1965,0,
01-07-1965 to 05-07-1965,0,
02-07-1965 to 06-07-1965,0,
03-07-1965 to 07-07-1965,0,
04-07-1965 to 08-07-1965,0,
05-07-1965 to 09-07-1965,0,
06-07-1965 to 10-07-1965,0,
07-07-1965 to 11-07-1965,0,
08-07-1965 to 12-07-1965,0,
09-07-1965 to 13-07-1965,0,
10-07-1965 to 14-07-1965,0,
11-07-1965 to 15-07-1965,0,
12-07-1965 to 16-07-1965,0,
13-07-1965 to 17-07-1965,0,
14-07-1965 to 18-07-1965,0,
15-07-1965 to 19-07-1965,0,
16-07-1965 to 20-07-1965,0,
17-07-1965 to 21-07-1965,0,
18-07-1965 to 22-07-1965,0,
19-07-1965 to 23-07-1965,0,
20-07-1965 to 24-07-1965,0,
21-07-1965 to 25-07-1965,0,
22-07-1965 to 26-07-1965,0,
23-07-1965 to 27-07-1965,0,
24-07-1965 to 28-07-1965,0,
25-07-1965 to 29-07-1965,0,
26-07-1965 to 30-07-1965,0,
27-07-1965 to 01-08-1965,0,
28-07-1965 to 02-08-1965,0,
29-07-1965 to 03-08-1965,1,
30-07-1965 to 04-08-1965,0,
01-08-1965 to 05-08-1965,0,
02-08-1965 to 06-08-1965,0,
03-08-1965 to 07-08-1965,0,
04-08-1965 to 08-08-1965,0,
05-08-1965 to 09-08-1965,0,
06-08-1965 to 10-08-1965,0,
07-08-1965 to 11-08-1965,0,
08-08-1965 to 12-08-1965,0,
09-08-1965 to 13-08-1965,0,
10-08-1965 to 14-08-1965,0,
11-08-1965 to 15-08-1965,0,
12-08-1965 to 16-08-1965,0,
13-08-1965 to 17-08-1965,0,
14-08-1965 to 18-08-1965,0,
15-08-1965 to 19-08-1965,0,
16-08-1965 to 20-08-1965,0,
17-08-1965 to 21-08-1965,0,
18-08-1965 to 22-08-1965,0,
19-08-1965 to 23-08-1965,0,
20-08-1965 to 24-08-1965,0,
21-08-1965 to 25-08-1965,0,
22-08-1965 to 26-08-1965,0,
23-08-1965 to 27-08-1965,0,
24-08-1965 to 28-08-1965,0,
25-08-1965 to 29-08-1965,0,
26-08-1965 to 30-08-1965,0,
27-08-1965 to 01-09-1965,0,
28-08-1965 to 02-09-1965,0,
29-08-1965 to 03-09-1965,0,
30-08-1965 to 04-09-1965,0,
27-05-1966 to 01-06-1966,1,
28-05-1966 to 02-06-1966,1,
29-05-1966 to 03-06-1966,1,
30-05-1966 to 04-06-1966,1,
01-06-1966 to 05-06-1966,1,
02-06-1966 to 06-06-1966,1,
03-06-1966 to 07-06-1966,1,
04-06-1966 to 08-06-1966,1,
05-06-1966 to 09-06-1966,0,
06-06-1966 to 10-06-1966,0,
07-06-1966 to 11-06-1966,0,
08-06-1966 to 12-06-1966,0,
09-06-1966 to 13-06-1966,0,
10-06-1966 to 14-06-1966,0,
11-06-1966 to 15-06-1966,0,
12-06-1966 to 16-06-1966,0,
13-06-1966 to 17-06-1966,0,
14-06-1966 to 18-06-1966,0,
15-06-1966 to 19-06-1966,0,
16-06-1966 to 20-06-1966,0,
17-06-1966 to 21-06-1966,0,
18-06-1966 to 22-06-1966,0,
19-06-1966 to 23-06-1966,0,
20-06-1966 to 24-06-1966,0,
21-06-1966 to 25-06-1966,0,
22-06-1966 to 26-06-1966,0,
23-06-1966 to 27-06-1966,0,
24-06-1966 to 28-06-1966,0,
25-06-1966 to 29-06-1966,0,
26-06-1966 to 30-06-1966,0,
27-06-1966 to 01-07-1966,0,
28-06-1966 to 02-07-1966,0,
29-06-1966 to 03-07-1966,0,
30-06-1966 to 04-07-1966,0,
01-07-1966 to 05-07-1966,0,
02-07-1966 to 06-07-1966,0,
03-07-1966 to 07-07-1966,0,
04-07-1966 to 08-07-1966,0,
05-07-1966 to 09-07-1966,0,
06-07-1966 to 10-07-1966,0,
07-07-1966 to 11-07-1966,0,
08-07-1966 to 12-07-1966,0,
09-07-1966 to 13-07-1966,0,
10-07-1966 to 14-07-1966,0,
11-07-1966 to 15-07-1966,0,
12-07-1966 to 16-07-1966,0,
13-07-1966 to 17-07-1966,0,
14-07-1966 to 18-07-1966,0,
15-07-1966 to 19-07-1966,0,
16-07-1966 to 20-07-1966,0,
17-07-1966 to 21-07-1966,0,
18-07-1966 to 22-07-1966,0,
19-07-1966 to 23-07-1966,0,
20-07-1966 to 24-07-1966,0,
21-07-1966 to 25-07-1966,0,
22-07-1966 to 26-07-1966,0,
23-07-1966 to 27-07-1966,0,
24-07-1966 to 28-07-1966,0,
25-07-1966 to 29-07-1966,0,
26-07-1966 to 30-07-1966,0,
27-07-1966 to 01-08-1966,0,
28-07-1966 to 02-08-1966,0,
29-07-1966 to 03-08-1966,0,
30-07-1966 to 04-08-1966,0,
01-08-1966 to 05-08-1966,0,
02-08-1966 to 06-08-1966,0,
03-08-1966 to 07-08-1966,1,
04-08-1966 to 08-08-1966,0,
05-08-1966 to 09-08-1966,0,
06-08-1966 to 10-08-1966,0,
07-08-1966 to 11-08-1966,0,
08-08-1966 to 12-08-1966,0,
09-08-1966 to 13-08-1966,0,
10-08-1966 to 14-08-1966,0,
11-08-1966 to 15-08-1966,1,
12-08-1966 to 16-08-1966,0,
13-08-1966 to 17-08-1966,0,
14-08-1966 to 18-08-1966,0,
15-08-1966 to 19-08-1966,0,
16-08-1966 to 20-08-1966,0,
17-08-1966 to 21-08-1966,0,
18-08-1966 to 22-08-1966,0,
19-08-1966 to 23-08-1966,0,
20-08-1966 to 24-08-1966,0,
21-08-1966 to 25-08-1966,0,
22-08-1966 to 26-08-1966,0,
23-08-1966 to 27-08-1966,0,
24-08-1966 to 28-08-1966,0,
25-08-1966 to 29-08-1966,0,
26-08-1966 to 30-08-1966,0,
27-08-1966 to 01-09-1966,0,
28-08-1966 to 02-09-1966,0,
29-08-1966 to 03-09-1966,0,
30-08-1966 to 04-09-1966,0,
27-05-1967 to 01-06-1967,0,
28-05-1967 to 02-06-1967,0,
29-05-1967 to 03-06-1967,0,
30-05-1967 to 04-06-1967,0,
01-06-1967 to 05-06-1967,0,
02-06-1967 to 06-06-1967,0,
03-06-1967 to 07-06-1967,0,
04-06-1967 to 08-06-1967,0,
05-06-1967 to 09-06-1967,0,
06-06-1967 to 10-06-1967,0,
07-06-1967 to 11-06-1967,0,
08-06-1967 to 12-06-1967,1,
09-06-1967 to 13-06-1967,1,
10-06-1967 to 14-06-1967,1,
11-06-1967 to 15-06-1967,1,
12-06-1967 to 16-06-1967,1,
13-06-1967 to 17-06-1967,1,
14-06-1967 to 18-06-1967,1,
15-06-1967 to 19-06-1967,0,
16-06-1967 to 20-06-1967,0,
17-06-1967 to 21-06-1967,0,
18-06-1967 to 22-06-1967,0,
19-06-1967 to 23-06-1967,0,
20-06-1967 to 24-06-1967,0,
21-06-1967 to 25-06-1967,0,
22-06-1967 to 26-06-1967,0,
23-06-1967 to 27-06-1967,0,
24-06-1967 to 28-06-1967,0,
25-06-1967 to 29-06-1967,0,
26-06-1967 to 30-06-1967,0,
27-06-1967 to 01-07-1967,0,
28-06-1967 to 02-07-1967,0,
29-06-1967 to 03-07-1967,0,
30-06-1967 to 04-07-1967,0,
01-07-1967 to 05-07-1967,0,
02-07-1967 to 06-07-1967,0,
03-07-1967 to 07-07-1967,0,
04-07-1967 to 08-07-1967,0,
05-07-1967 to 09-07-1967,0,
06-07-1967 to 10-07-1967,0,
07-07-1967 to 11-07-1967,0,
08-07-1967 to 12-07-1967,0,
09-07-1967 to 13-07-1967,0,
10-07-1967 to 14-07-1967,0,
11-07-1967 to 15-07-1967,0,
12-07-1967 to 16-07-1967,0,
13-07-1967 to 17-07-1967,0,
14-07-1967 to 18-07-1967,0,
15-07-1967 to 19-07-1967,0,
16-07-1967 to 20-07-1967,1,
17-07-1967 to 21-07-1967,1,
18-07-1967 to 22-07-1967,1,
19-07-1967 to 23-07-1967,0,
20-07-1967 to 24-07-1967,0,
21-07-1967 to 25-07-1967,0,
22-07-1967 to 26-07-1967,0,
23-07-1967 to 27-07-1967,0,
24-07-1967 to 28-07-1967,0,
25-07-1967 to 29-07-1967,1,
26-07-1967 to 30-07-1967,1,
27-07-1967 to 01-08-1967,1,
28-07-1967 to 02-08-1967,0,
29-07-1967 to 03-08-1967,0,
30-07-1967 to 04-08-1967,0,
01-08-1967 to 05-08-1967,0,
02-08-1967 to 06-08-1967,0,
03-08-1967 to 07-08-1967,0,
04-08-1967 to 08-08-1967,0,
05-08-1967 to 09-08-1967,0,
06-08-1967 to 10-08-1967,0,
07-08-1967 to 11-08-1967,0,
08-08-1967 to 12-08-1967,0,
09-08-1967 to 13-08-1967,0,
10-08-1967 to 14-08-1967,0,
11-08-1967 to 15-08-1967,1,
12-08-1967 to 16-08-1967,0,
13-08-1967 to 17-08-1967,0,
